name,address,city,country,phone,email,star_rating,property_type,price_per_night,image_url,amenities,description
Rixos Downtown Antalya - The Land Of Legends Erişimi,"Antalya Archaeology Museum, Antalya",Antalya,Turkey,+1 000-555-1001,reservations@rixos-downtown-antalya-the-land-of-legends-eri-imi.example.com,5,HOTEL,474,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHqTqEGw09FogjjGX4EIn3QLRIRA-lpK4L-y5fL0zeHGBYV-Sn0ZI9AVDu3c8NPvvUZN_5aNIFjjGA7XBi3MNLIcKh4xlE84saOO6UNHCSi8YqDDPH7yai1E_hIWNyHp2wo8K0L=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Outdoor pool|Air conditioning|Fitness center|All inclusive available|Bar,"High-end lodging with stylish restaurants, a plush spa & a pool, plus tennis & water sports."
PEARLY HOTEL,"Konyaaltı Beaches, Antalya",Antalya,Turkey,+1 000-555-1002,reservations@pearly-hotel.example.com,3,HOTEL,100,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG73tFPURezCF9kJq5w5bRhJsBfVY1EqHWh51olF74kSFGA8CR0MEe8Cjn6a1JSZ3izNEMfmRuc2unzqTeau1YhCIsYcaO_1DiqiKtYh330UNiqJ3WtVXo9b_dSLtHa5i4P5pNz=s10000,Free breakfast|Free Wi-Fi|Free parking|Hot tub|Air conditioning|Pet-friendly|Fitness center|Spa,A 3-star hotel in Antalya with easy access to the city's top attractions.
Crowne Plaza Antalya by IHG,"Konyaaltı Beaches, Antalya",Antalya,Turkey,+1 000-555-1003,reservations@crowne-plaza-antalya-by-ihg.example.com,5,HOTEL,110,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHvfDwV85E8ec2DG0ggbDViVN_W58da-TXVH_syaaL2H2onJLJgmeXmNrhgK6yl-dH5bJ-lfzZqfXEGPyWt_knWtSrqmJxWXc_AxkyPkVSAnIvzSuFahrK6ab3LR-S4Bb7ub30-=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Pools|Hot tub|Air conditioning|Pet-friendly|Fitness center,"Refined hotel with contemporary rooms, 2 restaurants & 3 bars, plus pools & a spa."
La Maja Hotel,"Lower Duden Waterfalls, Antalya",Antalya,Turkey,+1 000-555-1004,reservations@la-maja-hotel.example.com,5,HOTEL,123,https://photos.hotelbeds.com/giata/original/10/1035098/1035098a_hb_w_027.jpg,Free breakfast|Free Wi-Fi|Free parking|Outdoor pool|Air conditioning|Bar|Restaurant|Full-service laundry,A 5-star hotel in Antalya with easy access to the city's top attractions.
Akra Hotel,"İsmet Gökşen Cd-1, Antalya",Antalya,Turkey,+1 000-555-1005,reservations@akra-hotel.example.com,5,HOTEL,262,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHOKxFU2bXRQuqj-_QuOvPVUjTVr-9Ug-IbivIdY6LQfB2YN9K6s1Dlj88AF_Pq7VILX2WTWepqun0sucS_SP-DqJU70FkqwPKAAGfCqqkihbiD6JxU2M7frBvyaB0-aa9Wmv0xIhHqczY=s10000,Free breakfast|Free Wi-Fi|Free parking|Pools|Air conditioning|Fitness center|Spa|Beach access,"Seaside lodging offering posh rooms, upscale dining & a bar, plus tennis courts & outdoor pools."
AG Hotels Antalya,"Ataturk House & Museum, Antalya",Antalya,Turkey,+1 000-555-1006,reservations@ag-hotels-antalya.example.com,5,HOTEL,69,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGa_uI9fRuM35khgzvYcrd-wWOearYy-FLZB4UwSopf5VbAlp2MA5IQ5PDE_Dbq4VuKqH5l1f4YuR1zfTvqvwvLg0NUsoLxiR2TbpAGpz4uiBjyGZk2gchpVrJuF0kuCSS7NaM=s10000,Free breakfast|Free Wi-Fi|Free parking|Air conditioning|Restaurant|Room service|Airport shuttle|Full-service laundry,"Sleek hotel featuring minimalist rooms & an airy restaurant, plus a cafe & parking."
Hotel Lykia Old Town Antalya - Cafe & Breakfast,"Kaleiçi Old Town, Antalya",Antalya,Turkey,+1 000-555-1007,reservations@hotel-lykia-old-town-antalya-cafe-breakfast.example.com,5,HOTEL,123,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEBX8G_0CLeQuaSKvnY32ruNsTUkOIAs6xLSVhiavuzR_wDWoiUDhMbPmZ0byFF797qBC7pE9ByHySti_gX9jiwnXGBtt7a2ccAl4jmV_NgkCZ0aVDL5WjOafbdOIjzprBDtCAU=s10000,Free breakfast|Free Wi-Fi|Outdoor pool|Air conditioning|Bar|Room service|Kitchen in some rooms|Airport shuttle,"Genteel hotel in an 1800s mansion offering elegant rooms, a walled garden & an outdoor pool."
DoubleTree by Hilton Antalya City Centre,"Antalya Archaeology Museum, Antalya",Antalya,Turkey,+1 000-555-1008,reservations@doubletree-by-hilton-antalya-city-centre.example.com,5,HOTEL,200,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF_OKo5F7_TE5DGO4lF4R7SbRWuQRBs_ePMVUBfNtdYEmPmSOfKO1ah17U2rWGiKFhVSROOJuT_fDMZmCHP-Ycvkc1AdyEKt1etPjFir7nLIbhWczJBthpWsZ7uw14q8fPnytnC=s10000,Breakfast ($)|Free Wi-Fi|Free parking|Pools|Hot tub|Air conditioning|Fitness center|Spa,"Upmarket, contemporary hotel offering a restaurant, a gym & a spa, plus a rooftop pool."
Ramada Plaza by Wyndham Antalya,"Ataturk House & Museum, Antalya",Antalya,Turkey,+1 000-555-1009,reservations@ramada-plaza-by-wyndham-antalya.example.com,5,HOTEL,186,https://i.giatamedia.com/m.php?m=AQABAAAAla4KAM9ezQMFAM34Yf1dCfvlrwGS-yJbW4Y,Free breakfast|Free Wi-Fi|Free parking|Pools|Hot tub|Air conditioning|Fitness center|All inclusive available,"Modern lodging with an outdoor pool, a Turkish bath & 3 restaurants, plus free breakfast & Wi-Fi."
Adonis Otel,"İsmet Gökşen Cd-4, Antalya",Antalya,Turkey,+1 000-555-1010,reservations@adonis-otel.example.com,5,HOTEL,153,https://photos.hotelbeds.com/giata/original/02/021074/021074a_hb_a_008.jpg,Free breakfast|Wi-Fi ($)|Free parking|Hot tub|Air conditioning|Fitness center|All inclusive available|Beach access,"Relaxed quarters, some with sea views, in a refined hotel with buffet dining, a spa & a nightclub."
